Tỉnh/TP, Tổng số ca, 24 giờ qua, Tử vong
Hà Nội, 1.643.185, +1, 1.232
TP. Hồ Chí Minh, 628.615, +64, 19.985
Hải Phòng, 537.167, +42, 138
Nghệ An, 501.642, +43, 145
Bắc Giang, 391.408, +6, 92
Vĩnh Phúc, 375.502, +23, 19
Hải Dương, 372.226, +27, 117
Quảng Ninh, 356.196, +11, 150
Bắc Ninh, 353.746, -, 136
Thái Nguyên, 347.184, +71, 112
Phú Thọ, 331.174, +49, 97
Bình Dương, 325.365, +48, 3.519
Nam Định, 301.027, +9, 150
Thái Bình, 296.731, +2, 23
Hưng Yên, 243.984, +14, 5
Hòa Bình, 239.886, +17, 102
Lào Cai, 188.614, +31, 38
Thanh Hóa, 177.961, +94, 109
Đắk Lắk, 172.439, -, 201
Lạng Sơn, 160.752, -, 85
Yên Bái, 157.611, +44, 13
Sơn La, 153.405, +12, 0
Cà Mau, 147.628, +16, 357
Tuyên Quang, 147.394, +22, 14
Tây Ninh, 140.270, +22, 944
Bình Định, 139.571, +32, 281
Quảng Bình, 129.308, +7, 74
Hà Giang, 122.610, -, 80
Khánh Hòa, 121.673, +43, 364
Bình Phước, 119.935, +5, 224
Bà Rịa – Vũng Tàu, 110.640, +23, 497
Đà Nẵng, 108.552, +35, 338
Đồng Nai, 107.518, -, 1.903
Ninh Bình, 104.681, +14, 93
Vĩnh Long, 103.412, +30, 829
Bến Tre, 99.477, -, 489
Cao Bằng, 98.786, +16, 59
Lâm Đồng, 97.827, +43, 141
Hà Nam, 91.286, +26, 65
Điện Biên, 90.504, +9, 23
Quảng Trị, 86.042, +11, 38
Cần Thơ, 76.897, +16, 958
Bắc Kạn, 76.880, +21, 19
Lai Châu, 75.398, +30, 0
Trà Vinh, 75.154, +3, 115
Đắk Nông, 73.427, -, 47
Gia Lai, 70.945, -, 116
Hà Tĩnh, 55.036, +56, 50
Bình Thuận, 54.143, +39, 482
Đồng Tháp, 51.487, +3, 1.007
Quảng Ngãi, 50.420, +16, 127
Long An, 50.197, +12, 1.088
Quảng Nam, 49.489, +6, 150
Thừa Thiên Huế, 48.097, +15, 173
Bạc Liêu, 46.907, +6, 470
Phú Yên, 44.295, +146, 137
Kiên Giang, 43.295, -, 1.027
An Giang, 43.237, +12, 1.325
Tiền Giang, 39.700, +54, 1.290
Sóc Trăng, 34.453, -, 634
Kon Tum, 26.326, -, 1
Hậu Giang, 17.846, +3, 231
Ninh Thuận, 8.932, +38, 60
